['./solve_sudoku.py', 'rows.cnf']
Iterations: 132, satisfied = 2822, out of 3078 
Iterations: 133, satisfied = 2823, out of 3078 
Iterations: 134, satisfied = 2826, out of 3078 
Iterations: 135, satisfied = 2828, out of 3078 
Iterations: 136, satisfied = 2830, out of 3078 
Iterations: 137, satisfied = 2833, out of 3078 
Iterations: 138, satisfied = 2837, out of 3078 
Iterations: 139, satisfied = 2839, out of 3078 
Iterations: 140, satisfied = 2841, out of 3078 
Iterations: 141, satisfied = 2843, out of 3078 
Iterations: 142, satisfied = 2846, out of 3078 
Iterations: 143, satisfied = 2850, out of 3078 
Iterations: 144, satisfied = 2853, out of 3078 
Iterations: 145, satisfied = 2855, out of 3078 
Iterations: 146, satisfied = 2857, out of 3078 
Iterations: 147, satisfied = 2860, out of 3078 
Iterations: 148, satisfied = 2864, out of 3078 
Iterations: 149, satisfied = 2867, out of 3078 
Iterations: 150, satisfied = 2869, out of 3078 
Iterations: 151, satisfied = 2872, out of 3078 
Iterations: 152, satisfied = 2875, out of 3078 
Iterations: 153, satisfied = 2876, out of 3078 
Iterations: 154, satisfied = 2878, out of 3078 
Iterations: 155, satisfied = 2880, out of 3078 
Iterations: 156, satisfied = 2883, out of 3078 
Iterations: 157, satisfied = 2885, out of 3078 
Iterations: 158, satisfied = 2889, out of 3078 
Iterations: 159, satisfied = 2891, out of 3078 
Iterations: 160, satisfied = 2892, out of 3078 
Iterations: 161, satisfied = 2894, out of 3078 
Iterations: 162, satisfied = 2897, out of 3078 
Iterations: 163, satisfied = 2897, out of 3078 
Iterations: 164, satisfied = 2899, out of 3078 
Iterations: 165, satisfied = 2901, out of 3078 
Iterations: 166, satisfied = 2903, out of 3078 
Iterations: 167, satisfied = 2906, out of 3078 
Iterations: 168, satisfied = 2908, out of 3078 
Iterations: 169, satisfied = 2911, out of 3078 
Iterations: 170, satisfied = 2914, out of 3078 
Iterations: 171, satisfied = 2916, out of 3078 
Iterations: 172, satisfied = 2918, out of 3078 
Iterations: 173, satisfied = 2920, out of 3078 
Iterations: 174, satisfied = 2922, out of 3078 
Iterations: 175, satisfied = 2924, out of 3078 
Iterations: 176, satisfied = 2926, out of 3078 
Iterations: 177, satisfied = 2929, out of 3078 
Iterations: 178, satisfied = 2931, out of 3078 
Iterations: 179, satisfied = 2933, out of 3078 
Iterations: 180, satisfied = 2934, out of 3078 
Iterations: 181, satisfied = 2935, out of 3078 
Iterations: 182, satisfied = 2937, out of 3078 
Iterations: 183, satisfied = 2938, out of 3078 
Iterations: 184, satisfied = 2941, out of 3078 
Iterations: 185, satisfied = 2944, out of 3078 
Iterations: 186, satisfied = 2946, out of 3078 
Iterations: 187, satisfied = 2948, out of 3078 
Iterations: 188, satisfied = 2950, out of 3078 
Iterations: 189, satisfied = 2952, out of 3078 
Iterations: 190, satisfied = 2954, out of 3078 
Iterations: 191, satisfied = 2956, out of 3078 
Iterations: 192, satisfied = 2959, out of 3078 
Iterations: 193, satisfied = 2960, out of 3078 
Iterations: 194, satisfied = 2962, out of 3078 
Iterations: 195, satisfied = 2963, out of 3078 
Iterations: 196, satisfied = 2965, out of 3078 
Iterations: 197, satisfied = 2967, out of 3078 
Iterations: 198, satisfied = 2969, out of 3078 
Iterations: 199, satisfied = 2972, out of 3078 
Iterations: 200, satisfied = 2974, out of 3078 
Iterations: 201, satisfied = 2975, out of 3078 
Iterations: 202, satisfied = 2975, out of 3078 
Iterations: 203, satisfied = 2975, out of 3078 
Iterations: 204, satisfied = 2977, out of 3078 
Iterations: 205, satisfied = 2979, out of 3078 
Iterations: 206, satisfied = 2982, out of 3078 
Iterations: 207, satisfied = 2983, out of 3078 
Iterations: 208, satisfied = 2984, out of 3078 
Iterations: 209, satisfied = 2985, out of 3078 
Iterations: 210, satisfied = 2987, out of 3078 
Iterations: 211, satisfied = 2988, out of 3078 
Iterations: 212, satisfied = 2990, out of 3078 
Iterations: 213, satisfied = 2991, out of 3078 
Iterations: 214, satisfied = 2993, out of 3078 
Iterations: 215, satisfied = 2994, out of 3078 
Iterations: 216, satisfied = 2994, out of 3078 
Iterations: 217, satisfied = 2995, out of 3078 
Iterations: 218, satisfied = 2997, out of 3078 
Iterations: 219, satisfied = 2998, out of 3078 
Iterations: 220, satisfied = 3000, out of 3078 
Iterations: 221, satisfied = 3003, out of 3078 
Iterations: 222, satisfied = 3002, out of 3078 
Iterations: 223, satisfied = 3003, out of 3078 
Iterations: 224, satisfied = 3004, out of 3078 
Iterations: 225, satisfied = 3005, out of 3078 
