['./solve_sudoku.py', 'all_cells.cnf']
Iterations: 132, satisfied = 2749, out of 2997 
Iterations: 133, satisfied = 2752, out of 2997 
Iterations: 134, satisfied = 2755, out of 2997 
Iterations: 135, satisfied = 2759, out of 2997 
Iterations: 136, satisfied = 2760, out of 2997 
Iterations: 137, satisfied = 2762, out of 2997 
Iterations: 138, satisfied = 2764, out of 2997 
Iterations: 139, satisfied = 2767, out of 2997 
Iterations: 140, satisfied = 2770, out of 2997 
Iterations: 141, satisfied = 2772, out of 2997 
Iterations: 142, satisfied = 2773, out of 2997 
Iterations: 143, satisfied = 2775, out of 2997 
Iterations: 144, satisfied = 2776, out of 2997 
Iterations: 145, satisfied = 2778, out of 2997 
Iterations: 146, satisfied = 2780, out of 2997 
Iterations: 147, satisfied = 2783, out of 2997 
Iterations: 148, satisfied = 2786, out of 2997 
Iterations: 149, satisfied = 2788, out of 2997 
Iterations: 150, satisfied = 2789, out of 2997 
Iterations: 151, satisfied = 2790, out of 2997 
Iterations: 152, satisfied = 2793, out of 2997 
Iterations: 153, satisfied = 2794, out of 2997 
Iterations: 154, satisfied = 2795, out of 2997 
Iterations: 155, satisfied = 2797, out of 2997 
Iterations: 156, satisfied = 2799, out of 2997 
Iterations: 157, satisfied = 2802, out of 2997 
Iterations: 158, satisfied = 2806, out of 2997 
Iterations: 159, satisfied = 2808, out of 2997 
Iterations: 160, satisfied = 2810, out of 2997 
Iterations: 161, satisfied = 2811, out of 2997 
Iterations: 162, satisfied = 2814, out of 2997 
Iterations: 163, satisfied = 2817, out of 2997 
Iterations: 164, satisfied = 2819, out of 2997 
Iterations: 165, satisfied = 2822, out of 2997 
Iterations: 166, satisfied = 2823, out of 2997 
Iterations: 167, satisfied = 2826, out of 2997 
Iterations: 168, satisfied = 2829, out of 2997 
Iterations: 169, satisfied = 2831, out of 2997 
Iterations: 170, satisfied = 2835, out of 2997 
Iterations: 171, satisfied = 2838, out of 2997 
Iterations: 172, satisfied = 2840, out of 2997 
Iterations: 173, satisfied = 2842, out of 2997 
Iterations: 174, satisfied = 2843, out of 2997 
Iterations: 175, satisfied = 2845, out of 2997 
Iterations: 176, satisfied = 2847, out of 2997 
Iterations: 177, satisfied = 2848, out of 2997 
Iterations: 178, satisfied = 2850, out of 2997 
Iterations: 179, satisfied = 2852, out of 2997 
